snapshot,line,value
2015-01-01T00:00:00.000000,ab,1.0
2015-01-01T00:00:00.000000,bc,1.0
2015-01-01T00:00:00.000000,ca,1.0
2015-01-01T00:00:00.000000,ca2,1.0
2015-01-01T00:00:00.000000,ca3,1.0
2015-01-01T01:00:00.000000,ab,1.0
2015-01-01T01:00:00.000000,bc,1.0
2015-01-01T01:00:00.000000,ca,1.0
2015-01-01T01:00:00.000000,ca2,1.0
2015-01-01T01:00:00.000000,ca3,1.0
2015-01-01T02:00:00.000000,ab,1.0
2015-01-01T02:00:00.000000,bc,1.0
2015-01-01T02:00:00.000000,ca,1.0
2015-01-01T02:00:00.000000,ca2,1.0
2015-01-01T02:00:00.000000,ca3,1.0
2015-01-01T03:00:00.000000,ab,1.0
2015-01-01T03:00:00.000000,bc,1.0
2015-01-01T03:00:00.000000,ca,1.0
2015-01-01T03:00:00.000000,ca2,1.0
2015-01-01T03:00:00.000000,ca3,1.0
