snapshot,load,value
2015-01-01T00:00:00.000000,extra10,30.0
2015-01-01T00:00:00.000000,north_load,30.0
2015-01-01T00:00:00.000000,south_load,40.0
2015-01-01T00:00:00.000000,village_load,15.0
2015-01-01T01:00:00.000000,extra10,50.0
2015-01-01T01:00:00.000000,north_load,30.0
2015-01-01T01:00:00.000000,south_load,40.0
2015-01-01T01:00:00.000000,village_load,15.0
2015-01-01T02:00:00.000000,extra10,40.0
2015-01-01T02:00:00.000000,north_load,30.0
2015-01-01T02:00:00.000000,south_load,40.0
2015-01-01T02:00:00.000000,village_load,15.0
2015-01-01T03:00:00.000000,extra10,60.0
2015-01-01T03:00:00.000000,north_load,30.0
2015-01-01T03:00:00.000000,south_load,40.0
2015-01-01T03:00:00.000000,village_load,15.0
