snapshot,generator,value
2015-01-01T00:00:00.000000,coal,1.0
2015-01-01T00:00:00.000000,cold12,1.0
2015-01-01T00:00:00.000000,gas,1.0
2015-01-01T00:00:00.000000,uc12,1.0
2015-01-01T01:00:00.000000,coal,1.0
2015-01-01T01:00:00.000000,cold12,1.0
2015-01-01T01:00:00.000000,gas,1.0
2015-01-01T01:00:00.000000,uc12,1.0
2015-01-01T02:00:00.000000,coal,1.0
2015-01-01T02:00:00.000000,cold12,1.0
2015-01-01T02:00:00.000000,gas,1.0
2015-01-01T02:00:00.000000,uc12,1.0
2015-01-01T03:00:00.000000,coal,1.0
2015-01-01T03:00:00.000000,cold12,1.0
2015-01-01T03:00:00.000000,gas,1.0
2015-01-01T03:00:00.000000,uc12,1.0
