snapshot,generator,value
2015-01-01T00:00:00.000000,coal,10.0
2015-01-01T00:00:00.000000,diesel13,50.0
2015-01-01T00:00:00.000000,gas,30.0
2015-01-01T00:00:00.000000,hydro13,10.0
2015-01-01T01:00:00.000000,coal,10.0
2015-01-01T01:00:00.000000,diesel13,50.0
2015-01-01T01:00:00.000000,gas,30.0
2015-01-01T01:00:00.000000,hydro13,10.0
2015-01-01T02:00:00.000000,coal,10.0
2015-01-01T02:00:00.000000,diesel13,50.0
2015-01-01T02:00:00.000000,gas,30.0
2015-01-01T02:00:00.000000,hydro13,10.0
2015-01-01T03:00:00.000000,coal,10.0
2015-01-01T03:00:00.000000,diesel13,50.0
2015-01-01T03:00:00.000000,gas,30.0
2015-01-01T03:00:00.000000,hydro13,10.0
