snapshot,line,segment,value
2015-01-01T00:00:00.000000,ab13,1,-0.446280991736
2015-01-01T00:00:00.000000,ab13,2,-1.785123966942
2015-01-01T00:00:00.000000,bc13,1,-0.721487603306
2015-01-01T00:00:00.000000,bc13,2,-2.885950413223
2015-01-01T00:00:00.000000,ca13,1,-1.004132231405
2015-01-01T00:00:00.000000,ca13,2,-4.01652892562
2015-01-01T01:00:00.000000,ab13,1,-0.446280991736
2015-01-01T01:00:00.000000,ab13,2,-1.785123966942
2015-01-01T01:00:00.000000,bc13,1,-0.721487603306
2015-01-01T01:00:00.000000,bc13,2,-2.885950413223
2015-01-01T01:00:00.000000,ca13,1,-1.004132231405
2015-01-01T01:00:00.000000,ca13,2,-4.01652892562
2015-01-01T02:00:00.000000,ab13,1,-0.446280991736
2015-01-01T02:00:00.000000,ab13,2,-1.785123966942
2015-01-01T02:00:00.000000,bc13,1,-0.721487603306
2015-01-01T02:00:00.000000,bc13,2,-2.885950413223
2015-01-01T02:00:00.000000,ca13,1,-1.004132231405
2015-01-01T02:00:00.000000,ca13,2,-4.01652892562
2015-01-01T03:00:00.000000,ab13,1,-0.446280991736
2015-01-01T03:00:00.000000,ab13,2,-1.785123966942
2015-01-01T03:00:00.000000,bc13,1,-0.721487603306
2015-01-01T03:00:00.000000,bc13,2,-2.885950413223
2015-01-01T03:00:00.000000,ca13,1,-1.004132231405
2015-01-01T03:00:00.000000,ca13,2,-4.01652892562
