scenario,snapshot,generator,value
calm,2015-01-01T00:00:00.000000,coal,1.0
calm,2015-01-01T00:00:00.000000,gas,1.0
calm,2015-01-01T00:00:00.000000,wind14,0.9
calm,2015-01-01T01:00:00.000000,coal,1.0
calm,2015-01-01T01:00:00.000000,gas,1.0
calm,2015-01-01T01:00:00.000000,wind14,0.7
calm,2015-01-01T02:00:00.000000,coal,1.0
calm,2015-01-01T02:00:00.000000,gas,1.0
calm,2015-01-01T02:00:00.000000,wind14,0.8
calm,2015-01-01T03:00:00.000000,coal,1.0
calm,2015-01-01T03:00:00.000000,gas,1.0
calm,2015-01-01T03:00:00.000000,wind14,0.6
stormy,2015-01-01T00:00:00.000000,coal,1.0
stormy,2015-01-01T00:00:00.000000,gas,1.0
stormy,2015-01-01T00:00:00.000000,wind14,0.3
stormy,2015-01-01T01:00:00.000000,coal,1.0
stormy,2015-01-01T01:00:00.000000,gas,1.0
stormy,2015-01-01T01:00:00.000000,wind14,0.2
stormy,2015-01-01T02:00:00.000000,coal,1.0
stormy,2015-01-01T02:00:00.000000,gas,1.0
stormy,2015-01-01T02:00:00.000000,wind14,0.4
stormy,2015-01-01T03:00:00.000000,coal,1.0
stormy,2015-01-01T03:00:00.000000,gas,1.0
stormy,2015-01-01T03:00:00.000000,wind14,0.1
