scenario,snapshot,load,value
calm,2015-01-01T00:00:00.000000,north_load,30.0
calm,2015-01-01T00:00:00.000000,port14,10.0
calm,2015-01-01T00:00:00.000000,south_load,40.0
calm,2015-01-01T01:00:00.000000,north_load,30.0
calm,2015-01-01T01:00:00.000000,port14,20.0
calm,2015-01-01T01:00:00.000000,south_load,40.0
calm,2015-01-01T02:00:00.000000,north_load,30.0
calm,2015-01-01T02:00:00.000000,port14,15.0
calm,2015-01-01T02:00:00.000000,south_load,40.0
calm,2015-01-01T03:00:00.000000,north_load,30.0
calm,2015-01-01T03:00:00.000000,port14,10.0
calm,2015-01-01T03:00:00.000000,south_load,40.0
stormy,2015-01-01T00:00:00.000000,north_load,30.0
stormy,2015-01-01T00:00:00.000000,port14,40.0
stormy,2015-01-01T00:00:00.000000,south_load,40.0
stormy,2015-01-01T01:00:00.000000,north_load,30.0
stormy,2015-01-01T01:00:00.000000,port14,60.0
stormy,2015-01-01T01:00:00.000000,south_load,40.0
stormy,2015-01-01T02:00:00.000000,north_load,30.0
stormy,2015-01-01T02:00:00.000000,port14,50.0
stormy,2015-01-01T02:00:00.000000,south_load,40.0
stormy,2015-01-01T03:00:00.000000,north_load,30.0
stormy,2015-01-01T03:00:00.000000,port14,30.0
stormy,2015-01-01T03:00:00.000000,south_load,40.0
