snapshot,generator,value
2020-01-01T00:00:00.000000,gas30,false
2020-01-01T00:00:00.000000,old_gas,true
2020-01-01T00:00:00.000000,wind20,true
2020-01-01T00:00:00.000000,wind30,false
2020-01-01T01:00:00.000000,gas30,false
2020-01-01T01:00:00.000000,old_gas,true
2020-01-01T01:00:00.000000,wind20,true
2020-01-01T01:00:00.000000,wind30,false
2020-01-01T02:00:00.000000,gas30,false
2020-01-01T02:00:00.000000,old_gas,true
2020-01-01T02:00:00.000000,wind20,true
2020-01-01T02:00:00.000000,wind30,false
2020-01-01T03:00:00.000000,gas30,false
2020-01-01T03:00:00.000000,old_gas,true
2020-01-01T03:00:00.000000,wind20,true
2020-01-01T03:00:00.000000,wind30,false
2030-01-01T00:00:00.000000,gas30,true
2030-01-01T00:00:00.000000,old_gas,false
2030-01-01T00:00:00.000000,wind20,true
2030-01-01T00:00:00.000000,wind30,true
2030-01-01T01:00:00.000000,gas30,true
2030-01-01T01:00:00.000000,old_gas,false
2030-01-01T01:00:00.000000,wind20,true
2030-01-01T01:00:00.000000,wind30,true
2030-01-01T02:00:00.000000,gas30,true
2030-01-01T02:00:00.000000,old_gas,false
2030-01-01T02:00:00.000000,wind20,true
2030-01-01T02:00:00.000000,wind30,true
2030-01-01T03:00:00.000000,gas30,true
2030-01-01T03:00:00.000000,old_gas,false
2030-01-01T03:00:00.000000,wind20,true
2030-01-01T03:00:00.000000,wind30,true
