snapshot,generator,value
2020-01-01T00:00:00.000000,gas30,40.0
2020-01-01T00:00:00.000000,old_gas,30.0
2020-01-01T00:00:00.000000,wind20,1.0
2020-01-01T00:00:00.000000,wind30,1.0
2020-01-01T01:00:00.000000,gas30,40.0
2020-01-01T01:00:00.000000,old_gas,30.0
2020-01-01T01:00:00.000000,wind20,1.0
2020-01-01T01:00:00.000000,wind30,1.0
2020-01-01T02:00:00.000000,gas30,40.0
2020-01-01T02:00:00.000000,old_gas,30.0
2020-01-01T02:00:00.000000,wind20,1.0
2020-01-01T02:00:00.000000,wind30,1.0
2020-01-01T03:00:00.000000,gas30,40.0
2020-01-01T03:00:00.000000,old_gas,30.0
2020-01-01T03:00:00.000000,wind20,1.0
2020-01-01T03:00:00.000000,wind30,1.0
2030-01-01T00:00:00.000000,gas30,40.0
2030-01-01T00:00:00.000000,old_gas,30.0
2030-01-01T00:00:00.000000,wind20,1.0
2030-01-01T00:00:00.000000,wind30,1.0
2030-01-01T01:00:00.000000,gas30,40.0
2030-01-01T01:00:00.000000,old_gas,30.0
2030-01-01T01:00:00.000000,wind20,1.0
2030-01-01T01:00:00.000000,wind30,1.0
2030-01-01T02:00:00.000000,gas30,40.0
2030-01-01T02:00:00.000000,old_gas,30.0
2030-01-01T02:00:00.000000,wind20,1.0
2030-01-01T02:00:00.000000,wind30,1.0
2030-01-01T03:00:00.000000,gas30,40.0
2030-01-01T03:00:00.000000,old_gas,30.0
2030-01-01T03:00:00.000000,wind20,1.0
2030-01-01T03:00:00.000000,wind30,1.0
