snapshot,generator,value
2020-01-01T00:00:00.000000,gas30,1.0
2020-01-01T00:00:00.000000,old_gas,1.0
2020-01-01T00:00:00.000000,wind20,0.8
2020-01-01T00:00:00.000000,wind30,0.9
2020-01-01T01:00:00.000000,gas30,1.0
2020-01-01T01:00:00.000000,old_gas,1.0
2020-01-01T01:00:00.000000,wind20,0.6
2020-01-01T01:00:00.000000,wind30,0.7
2020-01-01T02:00:00.000000,gas30,1.0
2020-01-01T02:00:00.000000,old_gas,1.0
2020-01-01T02:00:00.000000,wind20,0.7
2020-01-01T02:00:00.000000,wind30,0.6
2020-01-01T03:00:00.000000,gas30,1.0
2020-01-01T03:00:00.000000,old_gas,1.0
2020-01-01T03:00:00.000000,wind20,0.5
2020-01-01T03:00:00.000000,wind30,0.8
2030-01-01T00:00:00.000000,gas30,1.0
2030-01-01T00:00:00.000000,old_gas,1.0
2030-01-01T00:00:00.000000,wind20,0.8
2030-01-01T00:00:00.000000,wind30,0.9
2030-01-01T01:00:00.000000,gas30,1.0
2030-01-01T01:00:00.000000,old_gas,1.0
2030-01-01T01:00:00.000000,wind20,0.6
2030-01-01T01:00:00.000000,wind30,0.7
2030-01-01T02:00:00.000000,gas30,1.0
2030-01-01T02:00:00.000000,old_gas,1.0
2030-01-01T02:00:00.000000,wind20,0.7
2030-01-01T02:00:00.000000,wind30,0.6
2030-01-01T03:00:00.000000,gas30,1.0
2030-01-01T03:00:00.000000,old_gas,1.0
2030-01-01T03:00:00.000000,wind20,0.5
2030-01-01T03:00:00.000000,wind30,0.8
