snapshot,load,value
2020-01-01T00:00:00.000000,port15,10.0
2020-01-01T00:00:00.000000,town15,20.0
2020-01-01T01:00:00.000000,port15,20.0
2020-01-01T01:00:00.000000,town15,30.0
2020-01-01T02:00:00.000000,port15,15.0
2020-01-01T02:00:00.000000,town15,25.0
2020-01-01T03:00:00.000000,port15,10.0
2020-01-01T03:00:00.000000,town15,20.0
2030-01-01T00:00:00.000000,port15,30.0
2030-01-01T00:00:00.000000,town15,35.0
2030-01-01T01:00:00.000000,port15,40.0
2030-01-01T01:00:00.000000,town15,45.0
2030-01-01T02:00:00.000000,port15,35.0
2030-01-01T02:00:00.000000,town15,40.0
2030-01-01T03:00:00.000000,port15,25.0
2030-01-01T03:00:00.000000,town15,30.0
